Column1,year,id,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,ccnl1s,egdp1s,hdmsp1s,hviirs1s,vl1s,panda1s,ccnl1m,egdp1m,hdmsp1m,hviirs1m,panda1m,vl1m,e1s,e1m,viirs1s,viirs1m
11,1992,540000,西藏自治区,33.29,16.59,4.46,12.24,49.8348,13.3974,36.7678,1468,,,,13.33,,,228.0,,,,,21944.0,,2773.626753,118079.6787,5343.27451,,,-19166300.98,0.001959811,0.097912692,8.945155297,,-11.65424046,,45900174055.97112,38068.37217728298,,
12,1992,450000,广西壮族自治区,646.6,233.03,187.48,226.09,36.0393,28.9947,34.966,1490,,,,141.04,,,4380.0,,,,2294.0,37291.0,,81490.87484,65419.87361,165429.702,,,-27225340.46,0.312428316,0.275824119,7.310178051,,-89.82401949,,21986837978.09302,96400.66000931503,,
13,1992,500000,重庆市,461.32,117.28,164.58,138.32,25.4227,42.1399,32.4374,1427,,,,,,,,,,,,,,30852.13539,31798.19186,62250.71765,,,6479902.749,0.323009694,0.384691443,8.105164882,,58.38223594,,9907342670.507135,123543.6012101244,,
14,1992,610000,陕西省,540.52,116.71,232.07,182.85,21.9532,43.6525,34.3942,1571,,,,142.47,,,3405.0,,,,2121.0,38318.0,,137025.2786,93519.82908,261765.2,,,27231167.16,0.543300908,0.454001316,7.538213419,,92.91479006,,30136618820.46932,153442.6457564621,,
15,1992,340000,安徽省,801.16,230.5,333.0,237.7,28.7693,41.5627,29.668,1390,,,,214.84,,,5834.0,,,,1672.0,30571.0,,122725.0892,87086.23168,239988.498,,,22940894.41,0.74157979,0.6194888,7.32450676,,119.2928517,,26520300148.139145,209991.78771971143,,
16,1992,510000,四川省,1624.51,372.04,441.57,363.66,31.6019,37.508,30.8901,1477,,,,304.78,,,10998.0,,,,,,,80770.83552,109295.9546,168657.0,,,20335526.79,0.142447372,0.224114763,8.366633835,,30.8627635,,35399421395.74437,74168.15611429297,,
17,1992,420000,湖北省,1088.39,303.0,444.61,340.78,27.8393,40.8502,31.3105,1962,,,,240.73,,,5580.0,,,,1705.0,47892.0,,129864.4276,80771.98923,250855.1765,,,24683617.62,0.596834091,0.433021471,8.758209443,,97.62303489,,26613054268.61245,152497.30639339206,,
18,1992,220000,吉林省,558.06,130.82,257.01,170.23,23.4419,46.0542,30.5039,2246,,,,151.08,,,2532.0,,,,3473.0,27192.0,,183315.7554,78475.97003,364838.3098,,,26761830.41,0.693866357,0.410731393,8.37789814,,87.1707309,,25873187446.70339,153385.52021805767,,
19,1992,360000,江西省,572.55,200.81,199.4,172.34,35.0729,34.8267,30.1004,1472,,,,125.36,,,3913.0,,,,1644.0,33986.0,,60364.34625,50842.23796,124552.502,,,8607579.373,0.319117936,0.303415335,6.767369237,,39.15878536,,16309720253.235752,102374.06312298262,,
20,1992,520000,贵州省,339.91,121.18,122.08,96.65,35.6506,35.9154,28.434,1034,,,,78.82,,,3361.0,,,,1408.0,31889.0,,39953.42795,41584.89312,83174.45098,,,8414026.318,0.201680071,0.235247342,7.108053073,,36.55036748,,13690846665.394072,79204.90448300434,,
21,1992,650000,新疆维吾尔自治区,402.31,114.5,147.64,140.17,28.4606,36.6981,34.8413,2477,,,,170.03,,,1581.0,,,,1578.0,26024.0,,110502.4608,240071.8771,223099.2627,,,-17078495.37,0.050925234,0.147099674,12.72941165,,-6.773139669,,86927645747.12495,53521.80799996862,,
22,1992,230000,黑龙江省,864.04,167.0,493.1,299.6,17.4013,51.3806,31.2181,2672,,,,,,,3608.0,,,,5307.0,47882.0,,282801.5833,147635.4863,565019.1176,,,28054053.19,0.418859655,0.326199497,9.807154941,,35.77346713,,49806383383.75945,120888.9555698952,,
23,1992,350000,福建省,787.71,194.87,291.6,298.21,24.8343,37.1616,38.004,2557,,,,227.55,,,3116.0,,,,1015.0,41882.0,,103233.9305,84303.74891,198735.3804,,,-96760574.58,0.739632728,0.700675641,8.312105974,,-596.5854733,,26160598006.83274,232210.886571618,,
24,1992,410000,河南省,1279.75,353.92,545.21,380.62,27.6554,42.6029,29.7417,1452,,,,318.83,,,8862.0,,,,3486.0,45049.0,,288939.7614,138610.8359,539688.8392,,,53090131.66,1.444262357,0.834728114,7.531667468,,228.3656987,,43939752978.06781,317372.6227236497,,
25,1992,530000,云南省,618.69,186.8,219.03,212.86,30.1928,35.4022,34.405,1622,,,,140.69,,,3832.0,,,,1651.0,60045.0,,70949.01567,91986.38766,142965.3882,,,439541.6157,0.167055152,0.239039406,7.078104577,,0.890619266,,30464900950.94952,81084.9854394711,,
26,1992,150000,内蒙古自治区,421.68,126.86,152.56,142.26,30.0844,36.1791,33.7365,1906,,,,149.24,,,2207.0,,,,5770.0,43704.0,,114718.8321,189730.7842,230209.8784,,,-9984171.69,0.071724687,0.165509475,10.67649045,,-5.371870155,,67115544208.23756,59395.09842652469,,
27,1992,460000,海南省,181.71,53.59,38.27,93.06,28.9801,20.6954,50.3245,2719,,,,87.05,,,686.0,,,,214.0,12937.0,,22442.14033,17966.14081,45317.49412,,,-145104336.7,0.486728948,0.53837586,7.783207048,,-2987.557594,,5268873657.978516,180058.56257188556,,
28,1992,640000,宁夏回族自治区,83.14,18.31,34.05,30.78,22.0231,40.955,37.0219,1718,,,,38.09,,,487.0,,,,421.0,8200.0,,30211.3588,24147.83744,60720.37647,,,6516577.282,0.461998909,0.464110933,8.536808404,,85.75712892,,7636043314.808154,154948.12096895537,,
29,1992,140000,山西省,570.0,82.94,270.28,197.9,15.0494,49.042,35.9087,1862,,,,172.79,,,2979.0,,,,2331.0,31554.0,,305442.8992,126030.0737,570849.6235,,,55587532.95,1.540918245,0.802479006,9.013467571,,241.327732,,42621770817.69172,305828.69724941166,,
30,1992,130000,河北省,1278.5,257.08,573.15,448.27,20.1079,44.8299,35.0622,2040,,,,335.79,,,6275.0,,,,3609.0,48334.0,,401379.9473,165938.3529,751402.7843,,,44916874.08,1.639036478,0.884334184,7.522974873,,157.8421356,,53783761445.19194,338616.91011511174,,
31,1993,310000,上海市,1511.61,37.82,902.38,579.03,2.5278,59.561,37.9112,10729,1450028.0,656564.0,793464.0,653.91,,,1349.0,,,,247.0,3677.0,,113302.5552,68958.91509,187099.8275,,,-9723113.506,12.09918988,10.86324747,18.66685864,,-893.4411673,,24303771442.078037,3820499.653381848,,
32,1993,110000,北京市,863.54,53.14,419.56,413.51,6.2047,48.0337,45.7616,8006,348464.0,114118.0,254346.0,121.8,,,1112.0,,,,874.6,11242.0,,151025.3006,79591.67317,253860.251,,,28744555.52,7.024622217,4.846118022,15.32337866,,1150.571829,,27983486912.43578,1708372.7251459556,,
33,1993,120000,天津市,536.1,35.4,308.4,195.14,6.6014,56.4223,36.9763,5800,397768.0,205737.0,192031.0,226.56,,,928.0,,,,3789.0,4117.0,,110538.2952,59912.21821,200066.6941,,,-4729211.49,7.065775564,5.270835087,11.25681406,,-260.1316352,,20665582591.27069,1818068.2548886093,,
34,1993,500000,重庆市,608.53,141.99,229.53,181.53,23.3333,44.7258,31.9409,1870,,,,,,,,,,,,,,22291.82546,33859.26488,49717.07059,,,6762534.353,0.233386624,0.409626104,6.920297208,,60.92867307,,10725298274.879448,132045.6835108278,,
35,1993,330000,浙江省,1909.49,315.97,983.96,625.99,16.4063,51.0907,32.5036,4469,673008.0,432052.0,240956.0,683.83,,,4266.0,,,,921.0,32838.0,,165141.0844,151329.4742,344443.902,,,-98135505.9,1.339614089,1.499282681,6.623840766,,-685.0554242,,47484836068.62838,482013.5775782032,,
36,1993,430000,湖南省,1278.28,383.68,470.05,390.98,30.8249,37.7638,31.4113,1997,173281.0,113765.0,59516.0,320.24,,,6311.0,,,,2273.0,58421.0,,60066.02162,68028.25796,138840.0314,,,15421389.41,0.250166885,0.319818599,6.048095435,,55.27153875,,22759063151.645443,108433.07888874345,,
37,1993,420000,湖北省,1424.38,346.39,537.6,441.84,26.1263,40.5482,33.3255,2361,222820.0,122731.0,100089.0,383.18,,,5653.0,,,,1941.0,48008.0,,106797.0362,85413.49021,228937.0706,,,25305803.55,0.490820413,0.457904721,6.332403451,,100.0837633,,28686640654.89532,156525.18789786892,,
38,1993,140000,山西省,704.7,97.27,335.03,248.11,14.2958,49.2394,36.4648,2271,65316.0,40699.0,24617.0,251.26,,,3012.0,,,,2331.0,32210.0,,327922.8224,141333.3677,641740.0745,,,64524044.07,1.654326426,0.899920607,7.675113461,,280.1247041,,49476635631.64684,319051.7148082935,,
39,1993,340000,安徽省,1069.84,286.0,444.97,306.17,27.5758,42.9036,29.5206,1785,123896.0,78472.0,45424.0,321.04,,,5897.0,,,,1672.0,30723.0,,109114.6827,94601.81472,230901.102,,,25930149.68,0.659337418,0.672950977,6.204234617,,134.8370053,,30035478735.60225,222311.9569247057,,
40,1993,460000,海南省,258.08,76.82,66.08,117.5,29.4996,25.3754,45.1212,3755,251797.0,91992.0,159805.0,188.25,,,701.0,,,,214.0,12937.0,,33354.46454,20951.92449,71044.19608,,,-143481443.2,0.723397287,0.627848266,6.756930543,,-2954.143789,,6979203119.779785,211382.10981554305,,
41,1993,130000,河北省,1690.84,301.68,847.92,541.24,17.842,50.1479,32.0101,2682,246152.0,167916.0,78236.0,540.2,,,6334.0,,,,3806.0,49195.0,,459261.2798,186582.2333,907386.7843,,,61188529.08,1.87539511,0.994351482,6.448216711,,215.0222673,,64225126430.6744,343760.444238654,,
42,1993,320000,江苏省,2998.16,490.59,1598.05,909.52,16.363,53.301,30.3359,4321,924469.0,465117.0,459352.0,1144.2,,,6967.0,,,,747.0,25505.0,,318432.5261,265781.8112,629470.3412,,,-1553608.518,2.57060151,2.625053634,7.241532673,,-10.79289926,,84027554947.26701,916122.6358437804,,
43,1993,510000,四川省,2096.48,449.38,580.38,456.32,30.2393,39.0544,30.7063,1854,223043.0,115595.0,107448.0,459.4,,,11104.0,,,,,,,72871.44783,116934.288,163575.5686,,,22053508.73,0.128516019,0.239777404,6.494607105,,33.47010536,,39897547300.13468,82386.16000989122,,
44,1993,540000,西藏自治区,37.28,18.3,5.49,13.63,48.9043,14.6713,36.4244,1624,18870.0,10391.0,8479.0,18.15,,,232.0,,,,,21944.0,,2566.568078,125813.4462,5195.180392,,,-18888973.16,0.001813506,0.104325598,7.853100881,,-11.4856088,,48164135088.426025,39941.63485471239,,
45,1993,620000,甘肃省,372.24,87.43,159.96,124.85,23.4875,42.9723,33.5402,1600,39905.0,21908.0,17997.0,122.08,,,2345.0,,,,1884.0,34875.0,,71357.13877,82216.70763,153625.9882,,,13042072.49,0.132012611,0.192900328,6.891540977,,20.7636626,,29837452792.41019,70190.4890176308,,
46,1993,630000,青海省,109.62,22.21,48.13,39.34,20.2498,43.8822,35.868,2364,10121.0,7630.0,2491.0,44.73,,,467.0,,,,1097.0,16963.0,,16235.39914,81828.72865,33427.95686,,,3713731.867,0.018883469,0.117209948,8.228487667,,3.717134546,,31839692707.59591,45619.15871023179,,
47,1993,350000,福建省,1133.49,254.36,455.79,404.05,22.8289,40.9074,36.2637,3556,1003808.0,515636.0,488172.0,368.45,,,3150.0,,,,1015.0,43558.0,,99688.04259,92659.69736,205290.8549,,,-93502890.44,0.714227759,0.770124623,7.179207806,,-576.4999473,,29728177598.485943,251857.38956250864,,
48,1993,530000,云南省,779.21,191.45,325.57,266.25,24.4424,41.5655,33.9921,2030,117165.0,79653.0,37512.0,251.4,,,3885.0,,,,1644.0,63086.0,,78370.36192,102291.3002,169089.4863,,,4958695.329,0.184529308,0.265818152,6.649007918,,10.0475346,,35203894132.679184,92090.52752970024,,
49,1993,440000,广东省,3225.3,558.7,1704.88,1205.7,16.1042,49.1422,34.7536,5085,7834492.0,3738838.0,4095654.0,1629.87,,,6607.0,,,,1564.0,67554.0,,477420.5068,327459.1658,877515.1255,,,-74940778.91,2.4024106,1.858650746,11.08673783,,-324.5207172,,113698111122.21835,661164.2502895328,,
50,1993,650000,新疆维吾尔自治区,505.63,126.85,205.07,163.33,25.6133,41.4074,32.9793,2964,78607.0,37523.0,41084.0,248.44,,,1605.0,,,,2038.0,27961.0,,144128.1379,262048.3764,291259.0784,,,-8716151.169,0.06642168,0.160565374,10.93381654,,-3.456727772,,96995680693.14944,59472.704712441606,,
51,1993,210000,辽宁省,2010.82,260.8,1039.3,710.8,12.97,51.6859,35.3491,5015,851980.0,516834.0,335146.0,718.3,,,4042.0,,,,3758.0,41638.0,,337139.1385,131578.5515,673998.1059,,,-36142110.07,1.708662461,0.912613067,7.069888972,,-157.6293916,,46045496623.17168,325125.4141123996,,
52,1993,610000,陕西省,671.37,148.24,297.49,232.47,21.8579,43.8646,34.2775,1981,131394.0,73488.0,57906.0,228.21,,,3443.0,,,,2121.0,38536.0,,129695.4232,101557.1199,269093.5098,,,31013593.81,0.514238263,0.493019144,6.177555309,,105.8207142,,33652135725.116825,164756.62503281995,,
53,1993,220000,吉林省,717.95,156.05,351.03,211.5,21.7164,48.8505,29.433,2826,250542.0,120472.0,130070.0,253.59,,,2555.0,,,,3473.0,28374.0,,199686.3797,84937.25487,417008.7059,,,36338437.97,0.755830618,0.444548784,6.15713151,,118.3644074,,29592387961.808144,157987.50799349786,,
54,1993,520000,贵州省,416.07,133.41,155.03,129.25,31.94,37.116,30.944,1234,34338.0,20033.0,14305.0,106.3,,,3409.0,,,,1408.0,32092.0,,32397.04352,44922.83121,74772.14118,,,9551127.188,0.163536357,0.254130186,6.545894984,,41.48991165,,14953205497.309622,85588.30248813465,,
55,1993,150000,内蒙古自治区,532.71,149.96,203.46,184.39,27.8835,37.8312,34.2853,2423,99151.0,48483.0,50668.0,217.4,,,2232.0,,,,5800.0,43789.0,,162585.0103,206519.4978,335108.949,,,-2794986.047,0.101651653,0.180154917,7.463934691,,-1.503810491,,75686850138.33917,66074.38829242122,,
56,1993,640000,宁夏回族自治区,103.82,20.84,45.61,38.04,19.9445,43.6501,36.4054,2148,10231.0,6317.0,3914.0,52.67,,,495.0,,,,446.0,8301.0,,34267.18833,26430.07005,70285.65882,,,7530562.145,0.524021569,0.507974451,6.80613085,,99.10100974,,8725669932.763023,168548.25769418848,,
57,1993,410000,河南省,1662.76,410.45,764.2,485.53,24.7232,46.0312,29.2456,1865,130931.0,75053.0,55878.0,450.43,,,8946.0,,,,3456.0,46487.0,,304764.2957,153107.5035,613604.9529,,,62353818.71,1.523361125,0.922028475,6.097897971,,268.2131864,,51074083544.50133,314235.1674128809,,
58,1993,450000,广西壮族自治区,893.58,245.6,321.1,305.0,28.1748,36.8361,34.9891,1982,205805.0,89317.0,116488.0,278.07,,,4438.0,,,,2294.0,38495.0,,69691.58951,71100.93069,153636.6078,,,-24420127.24,0.26719097,0.299776665,6.662546933,,-80.5688358,,24316852528.30958,104498.2267957096,,
59,1993,360000,江西省,723.06,225.58,282.46,215.0,31.1988,39.0656,29.7356,1835,116747.0,61415.0,55332.0,185.5,,,3966.0,,,,1644.0,34207.0,,49828.14896,54511.0588,114897.5529,,,9438884.529,0.263418011,0.325310054,5.654614478,,42.94067325,,17907440944.508854,109103.46241097036,,
60,1993,230000,黑龙江省,1203.22,198.41,649.7,350.24,16.5569,54.2162,29.2269,3306,330012.0,168677.0,161335.0,,,,3640.0,,,,5262.0,48023.0,,361578.3692,160970.3387,744406.7255,,,45141189.12,0.535536574,0.355662754,6.719562213,,57.56233633,,57712226378.08772,128880.97273702416,,
61,1993,370000,山东省,2779.49,596.63,1355.71,818.03,21.5361,48.9361,29.5278,3212,727936.0,419987.0,307949.0,892.48,,,8642.0,,,,2048.0,46033.0,,570670.4168,248819.4581,1116973.608,,,36413427.92,2.905026525,1.610954329,6.136403669,,159.5155011,,83303685699.03792,550799.3167153312,,
62,1994,120000,天津市,833.6,46.53,404.08,274.53,23.5,45.2,31.3,7751,554529.0,269121.0,285408.0,315.97,,,935.0,,,,4033.0,4156.0,,145585.958,64780.50084,202469.2,,,-2260824.651,9.306075351,5.699126938,11.59403358,,-124.3573087,,22210543892.90203,1953987.2441124509,,
63,1994,410000,河南省,2224.43,546.68,1071.74,606.01,24.6604,47.766,27.5736,2467,163550.0,102380.0,61170.0,628.03,,,9027.0,,,,3350.0,47704.0,,393814.99,169060.6742,571056.6471,,,68441977.07,1.968480083,1.018100041,6.725685218,,294.4012272,,56667392488.13602,345023.38988599414,,
64,1994,640000,宁夏回族自治区,133.97,29.93,55.78,48.26,21.9727,41.1052,36.9221,2740,17294.0,10923.0,6371.0,60.98,,,504.0,,,,453.0,8324.0,,42844.67559,28600.90957,63188.17647,,,7842841.078,0.655190438,0.549697042,6.520342248,,103.2105512,,9399223556.768944,181039.75763414,,
65,1994,230000,黑龙江省,1618.63,316.32,852.97,449.34,19.0168,52.9877,27.9955,4390,242759.0,124272.0,118487.0,,,,3672.0,,,,5262.0,48356.0,,379947.99,173290.5882,686101.0353,,,38306201.49,0.562743964,0.382884252,7.945368366,,48.84661872,,61834399218.72832,137700.87990175767,,
66,1994,350000,福建省,1685.34,372.58,739.52,573.24,22.069,43.8442,34.0868,5193,1218953.0,643020.0,575933.0,538.86,,,3183.0,,,,1024.0,44608.0,,175751.9049,105169.0095,257649.4275,,,-87778854.45,1.259197051,0.87409355,6.749470783,,-541.2079212,,34520769723.96687,288181.3915699395,,
67,1994,360000,江西省,948.16,314.35,338.23,295.58,33.1537,35.6722,31.1741,2376,130702.0,80539.0,50163.0,237.45,,,4015.0,,,,1644.0,34556.0,,66166.9989,58810.05852,108060.7961,,,11063161.87,0.349793834,0.350965542,5.440246825,,50.33005941,,19442415337.898064,117436.63104299403,,
68,1994,450000,广西壮族自治区,1241.83,357.74,485.57,398.52,27.5359,39.2067,33.2574,2675,303700.0,129038.0,174662.0,382.59,,,4493.0,,,,2336.0,39550.0,,111770.8412,78566.91439,176398.7059,,,-23017805.52,0.428518846,0.331254842,6.107635129,,-75.94218387,,27198827021.3606,115767.28234527638,,
69,1994,320000,江苏省,4057.39,671.94,2186.77,1198.68,16.8576,53.896,29.2464,5801,1175685.0,668450.0,507235.0,1331.13,,,7021.0,,,,747.0,25891.0,,486538.6973,296050.7275,607722.9882,,,7630686.443,3.927667582,2.924011371,7.175945347,,53.01028487,,95225661680.89597,962811.1795024727,,
70,1994,500000,重庆市,725.14,,,,6.4167,55.7244,37.8589,2541,,,,,,,,,,,,,,34437.80223,36503.41319,69201.51373,,,7814271.875,0.360550212,0.441614754,6.079043056,,70.40455419,,11741415180.450983,142826.5861473909,,
71,1994,460000,海南省,330.95,107.55,83.66,139.74,31.9658,25.0979,42.9363,4702,276046.0,95298.0,180748.0,220.25,,,711.0,,,,214.0,13014.0,,50098.60289,23704.8689,85937.86667,,,-142689448.4,1.086547002,0.710343379,6.312691779,,-2937.837384,,8003181710.575684,240813.0742786208,,
72,1994,110000,北京市,1084.03,74.77,499.84,509.42,6.8974,46.1094,46.9932,10240,2927426.0,834205.0,2093221.0,202.2,,,1125.0,,,,874.6,11532.0,,216308.5038,87346.08569,262282.5059,,,30942830.03,10.06113224,5.318262868,15.99490489,,1238.563196,,30660303310.472443,1867800.8970101275,,
73,1994,440000,广东省,4240.56,694.65,2139.89,1406.02,14.9869,48.782,36.2311,6530,9665215.0,5019850.0,4645365.0,2141.15,,,6689.0,,,,1725.0,75716.0,,761358.5644,373527.9771,997323.4941,,,-58653884.38,3.831205111,2.120136267,11.12671972,,-253.9925645,,131644688274.7296,754345.4181792845,,
74,1994,610000,陕西省,816.58,181.78,336.46,298.34,20.4772,43.4311,36.0917,2424,142016.0,95790.0,46226.0,283.29,,,3481.0,,,,2121.0,39059.0,,162855.5139,109685.3934,278142.4549,,,33338648.88,0.645716976,0.532478657,6.424067672,,113.753977,,36245408393.43691,176684.44673326233,,
75,1994,420000,湖北省,1878.65,501.44,812.56,564.65,29.4805,38.6632,31.8557,2991,274586.0,171560.0,103026.0,593.07,,,5719.0,,,,1978.0,48349.0,,155467.0893,94848.34184,250643.7882,,,28935812.19,0.714499425,0.508485292,6.851177911,,114.4403485,,32117573950.0912,173864.55956648942,,
76,1994,330000,浙江省,2666.86,443.87,1388.06,834.93,16.3111,51.9886,31.7007,6201,898715.0,608499.0,290216.0,1006.39,,,4294.0,,,,921.0,33438.0,,243635.6444,168927.6657,348912.3804,,,-91013820.02,1.976357022,1.673635125,6.691327172,,-635.3410064,,53722067662.92664,538056.8591889839,,
77,1994,530000,云南省,973.97,237.51,429.66,306.8,24.0145,43.5748,32.4107,2515,163181.0,96526.0,66655.0,321.73,,,3939.0,,,,1642.0,65578.0,,121957.5552,111920.0746,208334.8706,,,6669526.949,0.287158853,0.29083986,6.501949224,,13.51409965,,38617699135.50032,100657.47441279798,,
78,1994,150000,内蒙古自治区,681.92,208.53,261.79,211.6,30.0017,36.6184,33.3799,3094,92482.0,47441.0,45041.0,250.99,,,2260.0,,,,5733.0,44202.0,,189847.4099,220861.3003,305180.7922,,,-2941884.02,0.118696693,0.192665824,7.924335379,,-1.582847276,,80124149776.52127,69925.67587079774,,
79,1994,310000,上海市,1971.92,48.59,1143.24,780.09,2.4641,57.976,39.5599,13807,1806221.0,915722.0,890499.0,1123.29,,,1356.0,,,,246.0,3721.0,,157899.8047,75716.26319,182144.4039,,,-6953715.282,16.86157665,11.92774717,18.29154463,,-638.9656456,,26626738231.729195,4183691.944538992,,
80,1994,520000,贵州省,521.17,183.52,195.76,141.89,34.9998,37.143,27.8572,1527,46872.0,30408.0,16464.0,140.95,,,3458.0,,,,1408.0,32398.0,,48270.53185,48272.18754,97717.50588,,,10624486.76,0.243663806,0.273077624,6.037046558,,46.15256484,,16138560812.901615,91726.07090638133,,
81,1994,210000,辽宁省,2461.78,318.95,1259.05,883.78,12.958,51.1455,35.9006,6103,1023753.0,605320.0,418433.0,888.0,,,4067.0,,,,3758.0,42763.0,,370001.9742,141639.2704,581217.8353,,,-37874525.58,1.875215339,0.982393009,7.087981366,,-165.1851099,,49255996666.82299,345484.42771913623,,
82,1994,140000,山西省,853.77,123.85,440.81,289.11,14.9808,47.9726,37.0467,2729,83887.0,65397.0,18490.0,290.9,,,3045.0,,,,2331.0,32693.0,,482988.0003,158334.3058,700723.0706,,,71112659.02,2.436609342,1.008171721,8.593726262,,308.7285189,,56065560409.16077,359503.1467477449,,
83,1994,220000,吉林省,936.78,259.4,398.83,278.55,27.6625,42.3267,30.0108,3657,279080.0,136597.0,142483.0,302.47,,,2574.0,,,,3487.0,29581.0,,198398.828,91357.66366,355027.3216,,,29591120.7,0.750957121,0.478152235,6.798101814,,96.38651691,,31670497675.87668,168044.59901738068,,
84,1994,620000,甘肃省,451.66,103.81,199.32,148.53,22.8985,43.7975,33.3039,1921,50286.0,34687.0,15599.0,159.05,,,2378.0,,,,1883.6,34984.0,,91354.69189,88215.19204,150611.9373,,,13788729.91,0.169008617,0.206974227,7.152910562,,21.95238034,,31809541117.73736,74741.88666982502,,
85,1994,130000,河北省,2187.49,451.91,1053.12,682.46,20.6588,48.1428,31.1983,3439,315682.0,230266.0,85416.0,709.19,,,6388.0,,,,3844.0,50496.0,,580494.265,203069.8944,900351.902,,,69131061.68,2.370450448,1.082219067,6.644120647,,242.9330766,,69742746966.8295,372057.96468419145,,
86,1994,430000,湖南省,1694.42,532.89,618.07,543.46,32.296,35.7402,31.9639,2630,215111.0,154338.0,60773.0,420.89,,,6355.0,,,,2273.0,58803.0,,76826.83375,73546.52867,149583.7059,,,17290901.89,0.319973408,0.34576143,6.071598322,,61.97202654,,24665277575.160034,116836.4831981497,,
87,1994,370000,山东省,3872.18,775.03,1900.46,1196.69,20.1594,49.1983,30.6422,4441,961950.0,586536.0,375414.0,1108.0,,,8671.0,,,,2048.0,50225.0,,706676.3994,272310.8195,1046705.922,,,47374414.89,3.597371836,1.763046575,6.368493256,,207.5320552,,91312747000.97064,595171.6501419457,,
